Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Kandouss,RSB Berkane,RSB Berkane,RCB,28,3000000,2027-06-30,29,2806,0,0.65,0,0.0,11.8,65.76,France,"France, Morocco",right,192,83,no,5.61,3.62,77.88,6.0,68.45,0.1,0.15,0.38,2.69,4.1,0.58,3,0.1,0,0.0,0.13,0.0,0,0.0,0.02,0,0.0,11,0.35,9.09,0.0,0.0,0.03,100.0,0.0,0.0,0.03,100.0,0.0,0.1,66.67,0.77,33.33,0.29,0.55,0.0,32.72,0.29,0.19,46.73,89.43,17.9,81.72,1.8,94.64,22.87,95.65,40.38,95.0,6.32,53.81,22.07,38.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,70.37,0.35,27.27,0.26,25.0,0.06,0.03,7.54,71.91,0,,0,,0,0.0,0.0,0.0,,,1.38,,,0.03,0.0,0.0,0.0,0,0.0
R. Slim,FAR Rabat,FAR Rabat,"RAMF, LAMF",26,2200000,2027-06-30,27,1933,5,5.91,4,5.4,14.01,44.52,Morocco,Morocco,right,176,64,yes,4.24,2.98,62.5,0.88,36.84,0.05,0.08,0.0,2.33,4.05,0.65,3,0.14,0,0.0,3.68,0.23,2,0.09,0.28,1,0.05,35,1.63,37.14,14.286,0.19,3.49,44.0,1.44,48.39,2.05,40.91,0.61,3.21,44.93,8.85,41.05,2.79,2.33,0.51,25.65,2.23,1.91,30.96,75.94,9.31,75.0,6.84,87.07,9.36,73.63,25.7,81.52,1.96,54.76,18.07,29.54,0.25,2.14,0.05,0.05,0.14,66.67,0.79,3.59,74.03,3.96,56.47,0.28,50.0,1.3,1.44,7.17,88.31,0,,0,,0,0.0,0.0,0.0,,,0.19,,,2.05,0.28,50.0,2.89,3,100.0
M. Chouiar,RSB Berkane,RSB Berkane,"AMF, LAMF, LW",27,1800000,2028-06-30,28,2669,9,4.87,7,4.16,19.09,39.58,France,"France, Morocco",right,177,75,no,4.55,4.48,57.14,1.99,42.37,0.0,0.0,0.13,1.99,3.02,1.21,4,0.13,0,0.0,3.24,0.3,8,0.27,0.16,0,0.0,53,1.79,32.08,16.981,0.24,1.18,42.86,0.78,39.13,0.37,54.55,0.2,4.18,49.19,11.4,32.84,1.75,2.83,0.17,27.38,1.79,1.01,35.84,82.41,8.16,73.14,8.63,93.36,11.2,83.43,32.74,84.76,1.96,67.24,16.46,26.44,0.14,1.08,0.03,0.03,0.1,100.0,0.44,4.38,76.92,2.23,56.06,0.2,66.67,1.11,0.51,4.92,76.71,0,,0,,0,0.0,0.0,0.0,,,0.17,,,1.11,0.44,23.08,1.72,1,100.0
E. Benabid,Wydad Casablanca,Wydad Casablanca,GK,28,1800000,2027-06-30,24,2433,0,0.0,0,0.0,0.63,88.24,Morocco,Morocco,right,188,80,no,1.07,0.04,100.0,0.37,90.0,0.0,0.0,0.0,1.04,1.62,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,83.33,0.0,0.0,0.0,15.2,0.15,0.26,21.9,88.68,11.36,80.46,0.0,0.0,10.06,97.79,14.54,98.73,7.36,68.84,31.55,45.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,65.22,0.0,0.0,0.04,0.0,0.04,0.0,5.47,77.03,23,0.85,91,3.37,9,74.73,24.14,0.89,1.14,0.042,0.0,1.15,0.37,,,,0.0,0,0.0
M. Hrimat,Al Shamal,FAR Rabat,"LDMF, RDMF, LCMF",31,1600000,2028-06-30,26,2433,8,5.69,2,1.92,14.54,48.35,Morocco,Morocco,right,186,0,no,6.62,4.11,58.56,2.66,50.0,0.78,1.32,0.07,3.44,5.84,1.26,8,0.3,1,0.04,1.33,0.3,6,0.22,0.21,3,0.11,32,1.18,40.63,25.0,0.07,0.33,55.56,0.15,50.0,0.15,50.0,0.04,0.85,60.87,6.25,44.38,1.63,0.89,0.07,42.47,0.37,1.52,58.56,89.13,20.53,82.34,8.69,96.17,19.42,93.9,54.16,90.98,4.11,67.57,17.55,36.81,0.07,0.55,0.07,0.0,0.22,66.67,0.26,9.28,83.27,1.44,66.67,0.52,57.14,1.07,0.18,8.95,81.82,0,,0,,0,0.0,0.0,0.0,,,0.3,,,0.0,0.0,0.0,0.04,2,100.0
B. Benoun,Raja Casablanca,Raja Casablanca,"RCB, LCB",32,1400000,,23,2128,0,1.29,0,0.38,8.42,63.32,Morocco,Morocco,right,193,79,no,6.89,3.13,74.32,3.05,62.5,0.21,0.37,0.51,4.36,7.54,0.72,4,0.17,1,0.04,0.3,0.0,0,0.0,0.05,0,0.0,9,0.38,33.33,0.0,0.0,0.08,50.0,0.0,0.0,0.04,100.0,0.0,0.21,60.0,1.06,32.0,0.47,1.14,0.0,39.63,0.3,0.47,52.99,92.58,21.4,87.15,3.17,96.0,22.67,97.76,49.4,94.43,3.51,67.47,19.6,35.8,0.02,0.38,0.0,0.0,0.0,0.0,0.0,6.34,86.67,0.47,72.73,0.13,100.0,0.21,0.04,8.8,80.77,0,,0,,0,0.0,0.0,0.0,,,2.33,,,0.0,0.0,0.0,0.0,1,0.0
Y. Belammari,Al Ahly,Raja Casablanca,"LB, RB",27,1300000,2029-06-30,8,834,0,0.71,1,1.34,7.66,54.93,Morocco,Morocco,left,183,0,no,5.61,3.24,66.67,1.51,50.0,0.0,0.0,0.11,3.45,6.44,0.43,2,0.22,0,0.0,1.83,0.0,0,0.0,0.08,0,0.0,8,0.86,50.0,0.0,0.11,2.48,39.13,2.27,42.86,0.22,0.0,0.32,0.76,57.14,1.94,50.0,1.94,1.83,0.22,28.27,1.51,0.54,36.37,84.87,9.6,71.91,7.99,97.3,11.76,88.07,30.65,92.25,3.35,48.39,19.31,41.94,0.14,1.08,0.0,0.0,0.0,0.0,0.32,3.88,77.78,2.27,57.14,0.32,33.33,0.86,1.08,6.91,76.56,0,,0,,0,0.0,0.0,0.0,,,1.08,,,0.0,0.0,0.0,0.11,0,0.0
A. Ennaffati,Raja Casablanca,Raja Casablanca,"LAMF, RAMF",32,1000000,,18,1356,6,4.5,2,2.55,12.21,47.28,Morocco,Morocco,right,180,0,no,3.05,1.99,73.33,0.86,30.77,0.0,0.0,0.0,1.59,2.91,0.27,3,0.2,0,0.0,4.51,0.4,3,0.2,0.3,0,0.0,31,2.06,48.39,19.355,0.13,3.78,33.33,1.39,42.86,2.39,27.78,0.4,3.25,63.27,7.63,44.35,1.86,1.46,0.2,26.55,1.92,1.06,31.86,74.58,8.69,64.89,7.04,90.57,9.03,67.65,25.95,83.12,2.26,44.12,16.76,27.11,0.17,1.53,0.07,0.0,0.73,27.27,0.6,3.98,65.0,5.18,46.15,1.19,33.33,1.46,1.13,4.71,85.92,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.13,0.07,0.0,1.99,4,75.0
M. Al Makahasi,Raja Casablanca,Raja Casablanca,"RDMF, LDMF, RCMF",31,1000000,2027-06-30,26,2557,0,0.43,4,1.28,11.51,57.49,Morocco,Morocco,right,177,0,no,6.93,5.28,70.0,1.2,38.24,0.39,0.69,0.28,2.85,5.09,0.77,6,0.21,0,0.0,0.84,0.0,0,0.0,0.02,0,0.0,7,0.25,42.86,0.0,0.14,0.84,50.0,0.28,50.0,0.53,53.33,0.04,0.53,60.0,3.38,48.96,0.21,1.44,0.04,43.54,0.56,1.37,55.22,91.52,16.61,84.75,10.45,96.3,18.83,95.7,50.26,93.91,4.12,70.94,17.52,29.89,0.05,0.49,0.0,0.04,0.0,0.0,0.21,8.27,86.81,1.58,71.11,0.28,62.5,0.63,0.42,7.39,86.19,0,,0,,0,0.0,0.0,0.0,,,0.95,,,0.04,0.0,0.0,0.04,0,0.0
A. Barkok,Raja Casablanca,Raja Casablanca,"RDMF, LCMF, LDMF",28,1000000,,18,1248,1,0.42,1,0.59,12.4,55.81,Germany,"Germany, Morocco",right,189,82,no,7.43,5.99,67.47,2.52,51.43,0.36,0.62,0.14,3.03,5.19,1.73,6,0.43,0,0.0,0.79,0.07,1,0.07,0.03,0,0.0,10,0.72,40.0,10.0,0.07,0.22,0.0,0.14,0.0,0.07,0.0,0.0,0.72,60.0,2.45,41.18,0.22,0.65,0.0,45.87,0.14,0.22,57.98,89.05,16.37,80.62,10.82,98.67,21.27,90.51,53.51,91.78,4.25,59.32,16.7,32.42,0.04,0.72,0.07,0.0,0.07,100.0,0.22,7.93,78.18,1.3,50.0,0.43,83.33,0.94,0.07,7.72,81.31,0,,0,,0,0.0,0.0,0.0,,,0.79,,,0.22,0.07,0.0,0.43,0,0.0
