Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Hajdin,Budućnost,Budućnost,"LB, RB",32,800000,2027-06-30,8,627,0,0.38,0,0.13,13.49,60.64,Croatia,"Croatia, Serbia",left,188,79,no,10.91,5.89,70.73,3.59,60.0,0.14,0.21,0.57,6.6,9.65,0.86,1,0.14,0,0.0,0.72,0.0,0,0.0,0.05,0,0.0,7,1.0,14.29,0.0,0.0,2.15,13.33,1.72,8.33,0.43,33.33,0.43,0.43,66.67,2.3,50.0,1.44,0.72,0.29,24.98,0.57,0.57,40.19,73.21,16.36,67.54,6.6,95.65,10.77,72.0,33.01,82.61,5.31,35.14,17.81,27.07,0.02,0.14,0.14,0.0,0.0,0.0,0.0,5.31,62.16,2.3,43.75,0.0,0.0,0.29,0.29,7.32,62.75,0,,0,,0,0.0,0.0,0.0,,,0.29,,,0.14,0.0,0.0,0.0,0,0.0
N. Nikolić,Bačka Topola,Budućnost,CF,33,800000,2027-06-30,14,1248,2,3.66,0,0.51,22.43,31.83,Montenegro,"Montenegro, Serbia",right,188,78,no,4.33,3.61,58.0,5.84,32.1,0.58,0.82,0.14,1.66,2.36,1.66,1,0.07,0,0.0,1.15,0.14,1,0.07,0.26,0,0.0,18,1.3,38.89,11.111,0.0,0.94,30.77,0.58,25.0,0.36,40.0,0.22,0.79,45.45,10.02,24.46,1.95,0.94,0.07,17.45,1.59,1.44,26.61,73.71,8.37,57.76,5.99,93.98,7.72,81.31,22.5,78.53,3.32,52.17,18.0,35.49,0.04,0.43,0.0,0.0,0.07,0.0,0.14,4.11,64.91,2.74,44.74,0.5,14.29,1.23,0.29,3.97,83.64,0,,0,,0,0.0,0.0,0.0,,,0.14,,,0.0,0.0,0.0,0.0,2,50.0
M. Nešković,Bačka Topola,Budućnost,"LW, LAMF",26,750000,2027-06-30,10,353,0,0.12,1,0.44,17.34,41.18,Serbia,Serbia,right,177,74,no,6.12,3.57,71.43,0.76,66.67,0.0,0.0,0.25,3.57,5.12,0.51,0,0.0,0,0.0,2.04,0.0,0,0.0,0.03,0,0.0,6,1.53,33.33,0.0,0.25,2.55,10.0,2.04,12.5,0.51,0.0,0.51,3.31,38.46,9.94,33.33,2.8,2.8,0.51,21.67,1.78,1.53,26.26,67.96,6.63,65.38,6.37,88.0,6.37,64.0,21.93,76.74,1.78,42.86,17.49,10.1,0.11,1.02,0.0,0.0,0.0,0.0,0.51,2.29,44.44,2.55,40.0,0.0,0.0,1.02,0.51,3.57,64.29,0,,0,,0,0.0,0.0,0.0,,,0.51,,,0.51,0.0,0.0,2.8,0,0.0
M. Milović,Budućnost,Budućnost,"LCB, RCB",30,600000,2027-06-30,4,223,0,0.08,0,0.0,16.14,57.5,Montenegro,Montenegro,right,189,87,no,10.49,4.44,72.73,6.05,60.0,1.21,2.25,0.4,6.05,11.25,1.21,0,0.0,0,0.0,0.0,0.0,0,0.0,0.03,0,0.0,1,0.4,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.21,33.33,0.4,0.4,0.0,30.67,0.4,0.81,50.04,79.03,20.99,61.54,2.83,71.43,20.99,92.31,41.17,87.25,8.48,42.86,23.43,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26,44.44,1.21,0.0,0.81,0.0,0.0,0.0,9.69,70.83,0,,0,,0,0.0,0.0,0.0,,,2.02,,,0.0,0.0,0.0,0.0,0,0.0
N. Vujnović,Mornar,Mornar,"CF, LCMF",29,500000,2027-06-01,11,120,0,0.0,0,0.06,16.5,22.73,Montenegro,Montenegro,both,177,72,no,5.25,3.75,60.0,7.5,0.0,0.0,0.0,0.0,3.0,5.0,0.75,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.5,0.0,0.75,1.5,0.0,11.25,3.75,0.75,18.75,68.0,5.25,42.86,3.0,100.0,5.25,57.14,18.0,70.83,0.0,0.0,8.28,0.0,0.04,1.5,0.0,0.0,0.0,0.0,0.75,3.0,50.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.75,0,0.0
I. N''Diaye,,Dečić,"LAMF, LW, CF",31,500000,,15,743,2,1.28,1,0.51,20.83,41.28,Senegal,Senegal,right,180,73,no,7.63,5.33,52.27,8.48,51.43,0.36,0.45,0.36,4.48,5.52,2.06,0,0.0,0,0.0,0.97,0.24,2,0.24,0.16,1,0.12,9,1.09,55.56,22.222,0.12,0.97,25.0,0.61,20.0,0.36,33.33,0.36,0.97,12.5,4.97,19.51,2.66,0.12,0.0,16.35,2.54,0.73,23.98,70.2,7.27,55.0,5.45,88.89,7.03,65.52,21.2,73.71,1.82,53.33,15.8,18.58,0.06,0.48,0.0,0.12,0.0,0.0,0.36,1.7,64.29,1.09,11.11,0.0,0.0,0.24,0.24,4.72,56.41,0,,0,,0,0.0,0.0,0.0,,,0.12,,,0.0,0.0,0.0,0.0,0,0.0
J. Drešaj,Dečić,Dečić,RB,26,500000,2027-06-30,32,2995,0,0.48,3,2.42,14.69,50.92,Montenegro,Montenegro,,0,0,no,8.47,7.12,64.56,1.65,30.91,0.09,0.11,0.09,3.79,4.77,0.51,2,0.06,0,0.0,2.37,0.0,0,0.0,0.01,0,0.0,12,0.36,16.67,0.0,0.09,2.91,40.21,0.0,0.0,2.91,40.21,0.54,2.16,52.78,4.69,37.18,0.93,1.41,0.18,19.92,1.11,0.51,31.28,76.08,10.88,66.85,5.59,93.01,9.86,77.13,24.16,84.08,4.33,54.86,19.75,34.48,0.07,0.63,0.06,0.06,0.03,0.0,0.48,3.46,60.87,2.7,50.0,0.24,25.0,0.54,1.14,7.36,68.57,0,,0,,0,0.0,0.0,0.0,,,1.2,,,0.0,0.0,0.0,0.09,0,0.0
S. Krstović,Otrant-Olympic,Budućnost,"DMF, RDMF, LDMF",25,450000,2027-06-01,9,638,0,0.05,0,0.07,17.77,49.21,Montenegro,Montenegro,right,0,0,no,10.86,7.05,66.0,3.53,40.0,0.28,0.4,0.0,5.92,8.34,1.83,1,0.14,0,0.0,0.14,0.0,0,0.0,0.01,0,0.0,5,0.71,20.0,0.0,0.0,0.28,0.0,0.14,0.0,0.14,0.0,0.0,0.42,0.0,3.53,28.0,0.28,0.99,0.0,22.01,0.0,0.71,40.63,83.33,16.5,71.79,2.82,90.0,16.22,93.91,35.27,86.4,5.08,66.67,20.07,26.58,0.01,0.28,0.0,0.0,0.0,0.0,0.0,7.05,80.0,0.56,75.0,0.14,100.0,0.42,0.0,9.31,74.24,0,,0,,0,0.0,0.0,0.0,,,0.42,,,0.0,0.0,0.0,0.0,0,0.0
M. Djuričković,Budućnost,Budućnost,RCB,28,400000,2027-07-01,17,1253,0,0.37,0,0.27,14.37,61.0,Montenegro,Montenegro,right,191,83,no,8.12,7.11,62.63,3.52,63.27,0.22,0.32,0.57,3.45,5.16,1.15,5,0.36,0,0.0,0.65,0.0,0,0.0,0.03,0,0.0,6,0.43,16.67,0.0,0.0,0.79,45.45,0.0,0.0,0.79,45.45,0.0,0.22,100.0,1.44,50.0,0.5,1.51,0.43,43.6,0.72,0.72,60.48,83.14,29.16,74.14,4.38,96.72,21.55,92.67,48.77,90.43,10.99,52.94,22.38,38.99,0.02,0.29,0.0,0.0,0.07,0.0,0.14,11.21,69.23,1.22,35.29,1.15,43.75,0.36,0.22,15.51,77.78,0,,0,,0,0.0,0.0,0.0,,,1.65,,,0.0,0.0,0.0,0.0,0,0.0
R. Gjelaj,Petrovac,Dečić,"LCB, LB",23,400000,,13,907,1,0.85,0,0.3,14.69,57.43,Montenegro,Montenegro,left,185,0,no,8.53,5.06,66.67,4.47,51.11,0.1,0.12,0.99,5.06,6.05,0.79,2,0.2,0,0.0,0.99,0.1,1,0.1,0.08,0,0.0,2,0.2,50.0,50.0,0.0,0.99,30.0,0.99,30.0,0.0,0.0,0.1,0.69,85.71,2.88,51.72,0.2,1.49,0.1,29.97,0.4,0.89,43.76,80.05,21.83,69.09,3.97,95.0,14.59,90.48,35.82,88.64,7.14,41.67,20.37,34.99,0.03,0.69,0.0,0.0,0.0,0.0,0.1,6.25,50.79,1.19,33.33,0.69,14.29,0.0,0.4,9.13,59.78,0,,0,,0,0.0,0.0,0.0,,,2.48,,,0.0,0.0,0.0,0.0,0,0.0
