Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Pérez,Cerro Porteño,Cerro Porteño,"LCB, RCB",27,3000000,2027-12-31,37,3571,0,1.96,0,0.87,16.76,65.71,Argentina,"Argentina, Paraguay",right,177,75,no,9.65,6.28,76.71,6.05,64.58,0.78,1.49,0.3,4.06,7.73,1.18,7,0.18,0,0.0,0.28,0.0,0,0.0,0.05,0,0.0,21,0.53,4.76,0.0,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.0,0.43,52.94,2.27,50.0,0.53,0.86,0.03,35.36,0.48,0.63,52.09,90.66,19.58,82.63,2.52,98.0,25.91,96.21,46.88,94.25,5.19,58.25,20.96,37.17,0.02,0.05,0.03,0.03,0.0,0.0,0.08,6.05,76.25,0.45,50.0,0.25,70.0,0.2,0.03,8.22,71.78,0,,0,,0,0.0,0.0,0.0,,,1.56,,,0.0,0.0,0.0,0.0,0,0.0
F. Cardozo,Olimpia,Olimpia,"RCMF, RB, CF",25,3000000,2026-12-31,13,877,1,0.66,2,1.45,21.55,40.0,Paraguay,Paraguay,right,173,67,yes,6.26,6.47,50.79,5.75,32.14,0.21,0.32,0.0,2.77,4.33,2.77,4,0.41,0,0.0,1.54,0.1,1,0.1,0.07,0,0.0,10,1.03,20.0,10.0,0.21,2.16,28.57,0.21,50.0,1.95,26.32,0.31,1.44,35.71,7.08,36.23,2.36,1.54,0.0,30.38,1.44,1.54,42.9,79.43,16.21,72.78,4.93,97.92,13.44,83.97,36.12,86.08,4.62,51.11,20.64,29.98,0.15,1.03,0.1,0.0,0.21,100.0,0.41,7.29,69.01,3.18,45.16,0.21,100.0,0.92,0.82,9.44,76.09,0,,0,,0,0.0,0.0,0.0,,,0.31,,,0.1,0.0,0.0,0.1,0,0.0
D. González,Olimpia,Olimpia,"CF, RWF",32,2200000,2026-12-31,22,1364,4,5.22,2,1.18,17.02,24.03,Paraguay,Paraguay,right,175,75,no,3.1,3.56,40.74,2.18,12.12,0.46,0.78,0.0,1.19,2.0,1.58,1,0.07,0,0.0,1.91,0.26,2,0.13,0.34,0,0.0,30,1.98,43.33,13.333,0.13,0.99,26.67,0.33,40.0,0.66,20.0,0.07,2.64,27.5,8.31,22.22,3.96,0.59,0.13,14.25,1.98,0.86,19.13,77.24,4.35,57.58,5.08,90.91,5.41,78.05,17.49,80.38,0.66,70.0,15.72,10.9,0.08,0.92,0.07,0.0,0.26,25.0,0.46,1.78,85.19,2.05,54.84,0.13,50.0,1.12,0.26,2.31,85.71,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.07,2,100.0
F. Peralta,Cruzeiro,Cerro Porteño,"LCMF, RDMF",23,2000000,2029-06-30,12,415,0,0.18,1,0.62,17.78,36.59,Paraguay,Paraguay,right,176,76,no,7.59,6.29,41.38,4.34,40.0,0.65,1.29,0.43,4.34,8.57,1.95,1,0.22,0,0.0,1.73,0.0,0,0.0,0.04,0,0.0,2,0.43,0.0,0.0,0.22,1.52,85.71,0.22,100.0,1.3,83.33,0.22,0.43,100.0,3.47,31.25,1.08,1.08,0.0,38.82,0.65,0.43,59.64,82.91,20.82,65.63,9.11,97.62,20.82,90.63,50.1,88.31,8.02,48.65,18.78,31.69,0.13,1.08,0.0,0.0,0.0,0.0,1.08,11.06,64.71,3.04,57.14,1.52,28.57,0.65,1.3,11.28,86.54,0,,0,,0,0.0,0.0,0.0,,,0.65,,,0.65,0.0,0.0,0.65,0,0.0
L. Amarilla,Cerro Porteño,Cerro Porteño,CF,30,2000000,2026-12-31,22,1231,1,2.55,1,0.8,17.84,36.07,Paraguay,Paraguay,right,182,74,no,2.85,3.14,41.86,6.43,35.23,0.22,0.45,0.22,1.32,2.73,0.95,2,0.15,0,0.0,1.39,0.07,1,0.07,0.19,1,0.07,21,1.54,33.33,4.762,0.07,0.44,33.33,0.15,50.0,0.29,25.0,0.0,1.54,47.62,6.51,33.71,3.07,1.46,0.37,16.38,3.0,1.1,21.57,70.85,6.0,60.98,4.61,79.37,5.41,71.62,20.11,73.45,1.02,35.71,17.49,19.17,0.06,0.66,0.0,0.07,0.0,0.0,0.29,2.19,56.67,1.61,59.09,0.22,33.33,1.17,0.15,2.49,64.71,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
J. Morel,Cerro Porteño,Cerro Porteño,"RCMF, RDMF",28,1800000,2027-12-31,33,2306,3,1.33,0,0.57,11.83,54.13,Paraguay,Paraguay,right,184,80,no,6.71,4.25,69.72,2.85,46.58,0.12,0.22,0.16,3.63,6.77,0.94,6,0.23,0,0.0,0.66,0.12,3,0.12,0.05,0,0.0,20,0.78,35.0,15.0,0.0,0.55,28.57,0.23,16.67,0.31,37.5,0.16,0.39,60.0,2.97,39.47,0.59,1.05,0.04,37.35,0.66,0.66,50.58,89.12,18.15,81.08,5.7,96.58,19.59,94.02,44.92,93.31,5.15,58.33,19.16,31.28,0.02,0.16,0.08,0.0,0.04,0.0,0.12,8.24,77.25,1.17,36.67,0.35,33.33,0.39,0.16,7.42,76.32,0,,0,,0,0.0,0.0,0.0,,,0.55,,,0.0,0.0,0.0,0.0,0,0.0
D. Martínez,Defensa y Justicia,Olimpia,"LB, LCB",28,1500000,2026-12-31,11,1047,0,1.31,1,0.36,12.64,54.42,Argentina,"Argentina, Paraguay",left,185,76,yes,7.31,6.53,60.53,3.09,50.0,0.34,0.5,0.26,3.01,4.38,1.2,3,0.26,0,0.0,1.29,0.0,0,0.0,0.11,0,0.0,10,0.86,30.0,0.0,0.09,1.72,45.0,1.72,45.0,0.0,0.0,0.17,0.34,75.0,0.86,60.0,0.77,0.69,0.0,20.63,0.52,0.34,34.38,72.0,19.0,68.33,1.63,89.47,10.4,76.86,24.41,81.34,8.6,51.0,25.54,42.0,0.03,0.6,0.09,0.09,0.0,0.0,0.26,8.68,62.38,2.49,44.83,1.12,30.77,0.69,0.69,10.74,72.8,0,,0,,0,0.0,0.0,0.0,,,0.52,,,0.17,0.0,0.0,0.0,0,0.0
S. Araújo,Cerro Porteño,Cerro Porteño,"CF, AMF",34,1500000,2026-12-31,23,1543,10,7.04,1,0.66,12.07,43.0,Argentina,Argentina,right,180,82,no,4.02,2.62,55.56,2.86,40.82,0.35,0.66,0.06,2.22,4.18,0.93,2,0.12,0,0.0,1.98,0.58,10,0.58,0.41,1,0.06,40,2.33,47.5,25.0,0.06,0.29,40.0,0.29,40.0,0.0,0.0,0.06,1.17,55.0,4.72,35.8,3.62,0.47,0.0,20.47,2.8,1.17,26.6,78.51,8.4,67.36,5.42,92.47,7.99,81.75,23.91,82.2,2.45,47.62,17.88,29.67,0.04,0.64,0.06,0.06,0.35,33.33,0.12,4.26,65.75,2.16,43.24,0.76,15.38,1.34,0.12,3.79,81.54,0,,0,,0,0.0,0.0,0.0,,,0.06,,,0.0,0.0,0.0,0.0,0,0.0
A. Luciatti,Cerro Porteño,Cerro Porteño,LCB,33,1500000,2026-12-31,2,208,0,0.23,0,0.0,6.49,60.0,Argentina,Argentina,left,179,80,no,3.89,1.3,100.0,4.33,50.0,0.43,0.79,0.0,2.16,3.95,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.1,0,0.0,1,0.43,0.0,0.0,0.0,0.43,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,1.73,0.0,47.6,0.43,0.0,63.61,92.52,24.66,85.96,8.22,100.0,25.96,96.67,57.12,95.45,6.49,66.67,20.34,44.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.79,72.22,0.87,0.0,0.43,0.0,0.0,0.0,9.95,82.61,0,,0,,0,0.0,0.0,0.0,,,6.06,,,0.0,0.0,0.0,0.0,0,0.0
C. Domínguez,Cerro Porteño,Cerro Porteño,"LW, RW, CF",31,1500000,,33,2470,5,10.77,9,5.53,19.68,45.74,Paraguay,Paraguay,right,179,73,no,4.3,3.72,60.78,1.38,42.11,0.15,0.28,0.04,1.89,3.64,1.02,8,0.29,0,0.0,4.45,0.18,3,0.11,0.39,1,0.04,63,2.3,33.33,7.937,0.33,2.7,36.49,1.46,40.0,1.13,29.03,0.29,5.25,50.0,13.01,42.02,4.08,3.24,0.29,24.6,2.77,2.3,31.01,77.2,7.76,64.79,7.62,90.43,9.15,78.88,26.49,83.08,2.0,52.73,17.16,24.91,0.2,1.6,0.07,0.0,0.33,22.22,0.73,2.81,68.83,3.21,52.27,0.62,29.41,1.46,0.77,4.66,81.25,0,,0,,0,0.0,0.0,0.0,,,0.04,,,1.09,0.07,0.0,1.38,3,66.667
