Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Ruidíaz,Atlético Grau,Atlético Grau,CF,35,2000000,2029-12-31,26,2109,7,10.29,2,1.54,16.47,36.53,Peru,"Peru, Croatia",right,167,65,no,2.18,2.3,53.7,3.33,25.64,0.0,0.0,0.0,0.94,1.53,1.28,4,0.17,1,0.04,2.43,0.3,3,0.13,0.44,0,0.0,83,3.54,36.14,8.434,0.09,1.02,25.0,0.3,28.57,0.73,23.53,0.17,1.96,45.65,7.72,39.23,2.56,0.47,0.17,13.61,1.96,1.66,16.3,82.46,2.69,74.6,4.14,90.72,6.44,85.43,14.51,88.24,0.77,50.0,17.83,16.11,0.07,0.68,0.0,0.0,0.0,0.0,0.26,1.62,78.95,1.32,58.06,0.13,33.33,0.77,0.3,1.58,83.78,0,,0,,0,0.0,0.0,0.0,,,0.26,,,0.38,0.3,14.29,0.3,4,100.0
A. Santamaría,Universitario,Universitario,"RCB, CB",34,1000000,2027-12-31,15,1307,1,1.12,0,0.1,11.22,58.9,Peru,Peru,right,184,82,no,6.75,3.86,67.86,3.51,56.86,0.69,1.12,0.21,3.44,5.6,1.03,3,0.21,0,0.0,0.76,0.07,1,0.07,0.08,0,0.0,4,0.28,50.0,25.0,0.0,0.69,40.0,0.07,100.0,0.62,33.33,0.0,0.41,83.33,2.2,43.75,0.62,0.9,0.21,20.59,0.96,0.55,33.81,86.97,14.46,78.57,2.0,96.55,12.46,94.48,27.48,91.48,5.72,69.88,19.52,37.68,0.01,0.14,0.0,0.0,0.07,0.0,0.14,5.99,75.86,1.31,47.37,0.96,42.86,0.34,0.28,7.37,85.98,0,,0,,0,0.0,0.0,0.0,,,0.83,,,0.0,0.0,0.0,0.0,0,0.0
A. Cantero,Alianza Lima,Alianza Lima,"AMF, CF, LAMF",28,1000000,2028-12-31,21,1411,3,5.3,2,1.19,23.66,42.59,Argentina,Argentina,right,184,80,no,3.51,3.0,57.45,2.81,29.55,0.13,0.21,0.06,1.66,2.71,1.02,2,0.13,0,0.0,3.76,0.19,3,0.19,0.34,0,0.0,39,2.49,46.15,7.692,0.13,0.77,16.67,0.51,12.5,0.19,33.33,0.06,4.21,57.58,15.37,42.32,3.19,1.85,0.26,17.86,1.15,3.32,24.17,82.59,5.61,72.73,5.49,95.35,8.67,82.35,22.52,85.84,0.89,57.14,16.56,13.59,0.08,0.83,0.13,0.0,0.19,33.33,0.57,2.74,81.4,1.66,50.0,0.38,16.67,0.96,0.13,2.49,76.92,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
M. Araujo,Sporting Cristal,Sporting Cristal,RCB,31,850000,2026-12-31,16,1528,2,0.83,0,0.36,9.9,58.93,Peru,Peru,right,181,78,no,7.77,3.71,68.25,4.18,50.7,0.12,0.19,1.18,5.12,8.34,0.59,2,0.12,1,0.06,0.29,0.12,2,0.12,0.05,2,0.12,9,0.53,44.44,22.222,0.0,0.12,50.0,0.06,100.0,0.06,0.0,0.06,0.0,0.0,0.41,71.43,0.71,0.88,0.0,29.86,0.41,0.35,44.06,90.51,18.44,81.79,3.18,96.3,18.32,97.43,38.93,95.61,5.01,51.76,21.35,35.54,0.02,0.18,0.06,0.0,0.0,0.0,0.06,5.24,73.03,0.24,50.0,0.12,0.0,0.24,0.06,7.42,80.16,0,,0,,0,0.0,0.0,0.0,,,2.06,,,0.0,0.0,0.0,0.0,0,0.0
R. Ureña,Millonarios,Universitario,"DMF, RCMF",33,850000,2027-12-31,24,2036,0,0.13,3,2.37,10.48,59.92,Chile,Chile,right,181,70,no,8.13,4.6,68.27,1.68,57.89,1.06,1.56,0.35,3.93,5.77,0.97,4,0.18,0,0.0,0.75,0.0,0,0.0,0.01,0,0.0,12,0.53,0.0,0.0,0.13,0.97,68.18,0.22,40.0,0.75,76.47,0.18,0.22,40.0,2.12,54.17,0.09,0.09,0.0,31.16,0.35,1.15,45.4,82.08,17.33,69.9,2.7,90.16,19.36,90.41,33.82,89.02,10.7,61.16,22.63,37.97,0.1,1.15,0.04,0.13,0.0,0.0,0.53,11.49,68.08,2.34,58.49,1.24,57.14,0.8,0.66,10.3,84.55,0,,0,,0,0.0,0.0,0.0,,,0.18,,,0.4,0.0,0.0,0.0,0,0.0
R. Garcés,Alianza Lima,Alianza Lima,LCB,30,800000,2028-12-31,27,2613,1,2.28,1,0.78,11.19,64.92,Peru,Peru,right,180,76,no,7.16,4.17,72.73,3.79,63.64,0.28,0.44,0.52,3.86,6.21,0.62,6,0.21,2,0.07,0.41,0.03,1,0.03,0.08,1,0.03,14,0.48,28.57,7.143,0.03,0.07,50.0,0.07,50.0,0.0,0.0,0.0,0.28,75.0,1.96,57.89,0.79,0.96,0.07,20.87,0.28,0.96,33.03,90.72,13.92,82.43,1.03,96.67,15.15,97.05,29.0,94.54,3.96,63.48,20.82,37.57,0.03,0.21,0.0,0.0,0.14,25.0,0.07,3.34,79.38,0.34,20.0,0.21,16.67,0.24,0.03,5.75,74.25,0,,0,,0,0.0,0.0,0.0,,,0.62,,,0.0,0.0,0.0,0.0,0,0.0
G. Chávez,Alianza Lima,Alianza Lima,"RCB, LCB",27,800000,2027-12-31,24,1558,0,1.22,0,0.39,11.32,62.76,Peru,Peru,right,178,74,no,8.09,4.68,72.84,3.81,51.52,0.64,1.06,0.58,4.04,6.75,1.04,2,0.12,0,0.0,0.4,0.0,0,0.0,0.07,0,0.0,7,0.4,42.86,0.0,0.0,0.12,100.0,0.0,0.0,0.12,100.0,0.0,0.17,66.67,1.1,63.16,0.98,0.64,0.06,23.51,0.69,0.64,35.35,91.01,13.75,86.13,2.31,90.0,16.46,94.04,32.12,93.88,3.12,61.11,20.34,31.94,0.02,0.17,0.06,0.0,0.0,0.0,0.0,2.25,82.05,0.35,50.0,0.17,0.0,0.23,0.12,5.2,61.11,0,,0,,0,0.0,0.0,0.0,,,1.44,,,0.0,0.0,0.0,0.0,0,0.0
R. Solís,Sporting Cristal,Sporting Cristal,GK,28,750000,2026-12-31,2,213,0,0.0,0,0.0,1.69,75.0,Peru,Peru,right,187,75,no,1.27,0.42,100.0,0.85,100.0,0.0,0.0,0.0,0.85,1.28,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.0,0.0,0.0,0.0,15.63,0.0,0.42,23.24,87.27,11.41,81.48,0.0,0.0,10.99,96.15,14.79,100.0,8.03,68.42,30.82,47.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,55.56,0.0,0.0,0.42,100.0,0.0,0.0,3.8,66.67,2,0.85,4,1.69,0,50.0,0.09,0.04,-1.91,-0.807,0.0,2.54,0.85,,,,0.0,0,0.0
J. Vélez,Alianza Lima,Universitario,"LCMF, CF, RCMF",31,700000,2028-12-31,29,1313,3,2.46,1,2.59,24.27,45.48,Ecuador,Ecuador,right,174,73,no,6.03,6.17,56.67,3.02,47.73,0.21,0.33,0.07,2.33,3.79,1.58,6,0.41,1,0.07,4.04,0.21,3,0.21,0.17,1,0.07,35,2.4,34.29,8.571,0.07,1.85,33.33,0.96,50.0,0.82,16.67,0.48,4.25,58.06,12.82,40.11,2.88,2.19,0.62,24.06,1.85,1.78,33.66,82.08,8.5,74.19,7.13,98.08,9.19,80.6,29.61,86.11,2.26,69.7,16.03,21.92,0.18,1.1,0.27,0.0,0.27,50.0,0.41,3.43,78.0,3.29,54.17,0.48,57.14,1.71,0.75,4.18,80.33,0,,0,,0,0.0,0.0,0.0,,,0.07,,,0.62,0.48,14.29,1.23,0,0.0
J. Rivera,Universitario,Universitario,CF,29,700000,2026-12-31,30,1323,12,10.57,0,0.14,19.05,38.21,Peru,Peru,right,172,69,no,2.45,2.52,56.76,3.67,27.78,0.41,0.68,0.14,0.61,1.02,1.02,3,0.2,1,0.07,3.95,0.82,11,0.75,0.72,4,0.27,51,3.47,47.06,23.529,0.0,1.29,36.84,0.27,25.0,1.02,40.0,0.07,2.93,60.47,9.59,38.3,4.22,1.22,0.48,12.31,1.97,2.11,14.42,83.49,1.63,70.83,4.69,97.1,4.22,75.81,12.65,88.71,0.54,75.0,16.68,7.08,0.01,0.34,0.07,0.0,0.07,100.0,0.2,0.75,72.73,1.09,50.0,0.14,50.0,0.48,0.41,0.95,92.86,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,2,50.0
