Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Mitrović,Al Rayyan,Al Rayyan,CF,31,28000000,2028-06-30,11,802,5,3.55,3,0.6,15.04,37.31,Serbia,Serbia,right,189,90,no,1.68,1.35,66.67,6.06,42.59,0.0,0.0,0.11,0.79,1.44,0.9,0,0.0,0,0.0,1.68,0.56,5,0.56,0.4,2,0.22,21,2.36,52.38,23.81,0.34,0.34,33.33,0.0,0.0,0.34,33.33,0.0,0.9,37.5,4.83,34.88,3.82,0.45,0.11,11.9,0.9,1.01,15.04,75.37,3.7,51.52,4.49,92.5,3.37,70.0,14.03,79.2,0.67,16.67,13.6,7.78,0.07,0.79,0.11,0.0,0.22,0.0,0.34,1.35,33.33,1.01,44.44,0.22,0.0,0.56,0.11,1.12,70.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
M. Camara,Al Sadd,Al Sadd,"RDMF, LDMF, DMF",26,20000000,2029-06-30,15,815,0,0.65,0,0.02,13.03,55.08,Mali,Mali,right,173,68,no,5.08,4.42,52.5,1.21,54.55,0.11,0.18,0.33,2.65,4.29,0.88,4,0.44,0,0.0,0.33,0.0,0,0.0,0.07,0,0.0,6,0.66,33.33,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.55,20.0,5.96,57.41,0.33,0.11,0.0,27.61,0.22,2.98,35.45,90.34,10.93,82.83,4.09,94.59,15.68,94.37,33.79,91.5,1.55,71.43,17.73,14.86,0.0,0.11,0.0,0.11,0.0,0.0,0.11,2.98,88.89,0.55,20.0,0.0,0.0,0.22,0.0,4.64,57.14,0,,0,,0,0.0,0.0,0.0,,,0.55,,,0.0,0.0,0.0,0.0,0,0.0
Claudinho,Al Sadd,Al Sadd,"LDMF, AMF",29,18000000,2029-06-30,16,1511,3,2.28,5,2.53,13.04,41.55,Brazil,"Brazil, Russia",right,172,65,no,5.84,4.41,52.7,0.48,50.0,0.18,0.3,0.24,3.34,5.56,0.71,1,0.06,0,0.0,2.14,0.18,3,0.18,0.14,1,0.06,29,1.73,24.14,10.345,0.3,1.25,23.81,0.48,25.0,0.77,23.08,0.18,2.26,52.63,6.08,38.24,2.08,1.67,0.06,47.95,1.07,0.66,60.69,86.85,18.29,78.5,11.02,92.97,22.75,93.46,52.71,89.38,6.79,78.95,20.3,41.37,0.15,1.55,0.24,0.06,0.36,66.67,0.89,8.64,78.62,3.75,66.67,0.6,60.0,2.2,0.24,9.41,84.81,0,,0,,0,0.0,0.0,0.0,,,0.77,,,0.12,0.06,0.0,0.6,0,0.0
M. Verratti,Al Duhail,Al Duhail,"LDMF, RCMF, LCMF",33,18000000,2029-06-30,10,1008,1,0.87,3,1.68,19.11,64.95,Italy,Italy,right,165,60,no,8.84,6.61,77.03,1.07,50.0,1.52,2.64,0.27,2.23,3.89,1.07,4,0.36,1,0.09,1.96,0.09,1,0.09,0.08,0,0.0,8,0.71,12.5,12.5,0.27,1.07,58.33,0.36,75.0,0.45,40.0,0.0,1.43,68.75,9.82,59.09,1.7,1.61,0.45,47.14,0.27,3.21,63.57,86.24,24.38,76.56,6.43,93.06,21.34,95.4,56.34,89.86,6.25,58.57,17.19,35.14,0.15,1.07,0.0,0.09,0.54,50.0,0.8,10.71,70.0,3.93,56.82,1.88,42.86,2.23,0.45,10.8,81.82,0,,0,,0,0.0,0.0,0.0,,,0.71,,,0.18,0.09,0.0,0.0,0,0.0
B. Bourigeaud,Al Ahli,Al Duhail,"RDMF, AMF, RCMF",32,18000000,2029-06-30,19,1334,3,3.5,5,3.88,9.92,46.26,France,France,right,178,70,no,4.86,4.39,53.85,2.16,37.5,0.07,0.12,0.0,2.43,4.2,0.88,2,0.13,1,0.07,2.7,0.2,2,0.13,0.24,0,0.0,28,1.89,50.0,10.714,0.34,2.09,61.29,0.47,57.14,1.62,62.5,0.34,0.67,70.0,2.29,47.06,1.69,0.61,0.13,40.48,1.35,0.4,50.8,82.2,15.11,64.73,10.52,96.79,18.76,87.41,41.49,86.34,7.35,64.22,21.21,37.24,0.26,1.82,0.2,0.0,0.0,0.0,0.34,9.04,67.16,3.31,51.02,0.74,36.36,0.54,1.15,9.78,83.45,0,,0,,0,0.0,0.0,0.0,,,1.55,,,1.55,0.13,50.0,3.1,2,50.0
Álvaro Djaló,Athletic Club,Al Gharafa,"RW, LW, AMF",26,15000000,2029-06-30,18,1006,1,2.5,0,1.1,22.1,39.68,Spain,"Spain, Guinea-Bissau",right,175,67,no,3.67,6.71,38.67,2.06,34.78,0.09,0.14,0.0,0.98,1.55,2.95,2,0.18,0,0.0,4.03,0.09,1,0.09,0.22,0,0.0,25,2.24,40.0,4.0,0.0,3.85,27.91,0.63,14.29,3.22,30.56,0.36,4.12,50.0,11.0,43.09,2.77,2.33,0.18,13.51,2.33,1.52,19.23,65.58,4.38,55.1,3.22,88.89,7.25,62.96,14.49,77.16,1.34,40.0,21.02,30.24,0.1,0.89,0.0,0.0,0.0,0.0,0.36,1.79,65.0,3.31,37.84,0.09,0.0,0.98,0.89,3.4,78.95,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.54,0.18,50.0,0.89,0,0.0
J. Veretout,Al Arabi,Al Arabi,"LDMF, LCMF",33,15000000,2027-06-30,22,2145,2,2.75,4,2.83,10.41,55.24,France,France,right,177,67,no,4.7,3.19,63.16,1.51,47.22,0.0,0.0,0.17,2.69,4.63,0.67,1,0.04,0,0.0,2.1,0.08,2,0.08,0.12,0,0.0,33,1.38,36.36,6.061,0.17,1.38,30.3,0.71,17.65,0.67,43.75,0.21,1.64,64.1,4.53,52.78,1.51,3.36,0.92,37.38,0.5,0.84,49.93,88.82,15.4,81.2,6.97,95.18,19.85,93.66,44.81,92.7,3.82,63.74,19.67,39.69,0.12,0.92,0.0,0.04,0.25,50.0,0.55,7.72,77.17,1.68,47.5,0.59,35.71,0.63,0.42,7.68,83.61,0,,0,,0,0.0,0.0,0.0,,,0.46,,,1.3,0.34,37.5,1.85,0,0.0
B. Soumaré,Al Duhail,Al Duhail,"DMF, LDMF, RDMF",27,14000000,,9,897,0,0.27,0,0.25,10.23,57.84,France,"France, Senegal",right,188,82,no,5.22,3.81,57.89,1.71,82.35,0.2,0.3,0.6,2.81,4.26,1.1,2,0.2,0,0.0,0.2,0.0,0,0.0,0.03,0,0.0,1,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.4,50.0,3.51,45.71,0.6,0.7,0.1,33.71,0.1,0.9,44.45,88.49,12.54,75.2,7.73,98.7,15.15,96.69,41.94,90.91,2.31,52.17,17.88,36.26,0.03,0.6,0.0,0.0,0.0,0.0,0.0,5.52,70.91,0.3,33.33,0.2,0.0,0.1,0.0,4.92,69.39,0,,0,,0,0.0,0.0,0.0,,,0.6,,,0.0,0.0,0.0,0.0,0,0.0
P. Kimpembe,Al Kharitiyath,Qatar SC,LCB,30,12000000,,9,649,0,0.28,0,0.18,11.23,60.49,France,"France, Congo DR",left,183,77,no,6.8,5.55,52.5,2.36,70.59,0.55,0.86,0.28,3.33,5.14,1.39,4,0.55,0,0.0,0.14,0.0,0,0.0,0.04,0,0.0,1,0.14,0.0,0.0,0.0,0.42,33.33,0.42,33.33,0.0,0.0,0.14,0.0,0.0,1.94,64.29,0.14,0.14,0.0,19.28,0.28,1.25,32.31,87.98,17.33,81.6,1.94,100.0,10.82,94.87,27.6,93.47,4.3,58.06,21.4,42.87,0.02,0.14,0.0,0.0,0.0,0.0,0.0,4.16,73.33,0.69,40.0,0.42,33.33,0.0,0.28,7.07,70.59,0,,0,,0,0.0,0.0,0.0,,,1.39,,,0.0,0.0,0.0,0.0,0,0.0
Tuta,Al Duhail,Al Duhail,RCB,27,12000000,,3,257,2,0.56,0,0.0,5.6,62.5,Brazil,Brazil,right,185,75,no,6.3,2.8,62.5,2.45,71.43,0.0,0.0,0.7,4.55,6.61,1.4,0,0.0,0,0.0,0.7,0.7,2,0.7,0.2,1,0.35,3,1.05,66.67,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.35,0.0,43.42,0.7,1.05,56.73,95.68,20.31,87.93,2.45,100.0,31.17,100.0,50.43,98.61,6.3,72.22,22.58,44.35,0.0,0.0,0.0,0.35,0.0,0.0,0.0,4.9,71.43,1.05,66.67,1.05,66.67,0.7,0.0,5.25,93.33,0,,0,,0,0.0,0.0,0.0,,,2.1,,,0.0,0.0,0.0,0.0,0,0.0
