Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Gregoritsch,Augsburg,Brøndby,CF,32,8000000,2027-06-30,11,430,2,1.99,1,0.51,16.53,35.44,Austria,Austria,left,193,91,no,3.98,2.51,66.67,5.23,40.0,0.21,0.27,0.21,2.09,2.73,1.05,2,0.42,0,0.0,1.47,0.42,1,0.21,0.42,0,0.0,10,2.09,30.0,20.0,0.21,1.05,40.0,0.84,50.0,0.0,0.0,0.0,0.84,50.0,6.07,24.14,2.51,0.84,0.0,12.77,1.88,0.84,14.65,70.0,4.19,50.0,3.56,100.0,2.72,76.92,13.19,73.02,0.63,33.33,13.72,9.41,0.11,0.84,0.0,0.0,0.0,0.0,0.42,1.05,60.0,0.63,33.33,0.0,0.0,0.0,0.42,1.47,42.86,0,,0,,0,0.0,0.0,0.0,,,0.21,,,0.0,0.0,0.0,0.0,1,100.0
A. Buksa,Udinese,Midtjylland,CF,30,6000000,2029-06-30,3,240,1,1.05,0,0.06,20.63,47.27,Poland,Poland,left,191,88,no,2.63,1.88,80.0,10.5,50.0,0.0,0.0,0.38,1.13,1.91,0.38,0,0.0,0,0.0,1.88,0.38,1,0.38,0.39,0,0.0,6,2.25,50.0,16.667,0.0,0.75,100.0,0.38,100.0,0.38,100.0,0.0,0.38,0.0,4.13,45.45,3.0,0.38,0.0,7.87,0.75,1.13,12.75,82.35,2.63,57.14,3.75,100.0,4.13,90.91,11.25,83.33,0.75,50.0,16.67,28.84,0.02,0.75,0.38,0.0,0.0,0.0,0.38,1.88,80.0,0.75,100.0,0.0,0.0,0.38,0.75,2.25,83.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
R. Huescas,København,København,RB,22,6000000,2029-06-30,10,868,0,0.66,4,1.55,11.41,46.36,Mexico,Mexico,right,172,70,no,6.12,4.04,56.41,2.28,31.82,0.52,0.74,0.21,3.32,4.75,0.73,1,0.1,0,0.0,1.45,0.0,0,0.0,0.07,0,0.0,4,0.41,25.0,0.0,0.41,2.49,41.67,0.0,0.0,2.49,41.67,0.31,1.14,27.27,3.42,30.3,1.97,2.9,0.41,40.02,3.11,0.83,50.5,84.19,11.2,65.74,15.45,95.3,14.83,88.81,44.59,89.53,3.42,45.45,16.3,26.13,0.16,1.04,0.1,0.1,0.0,0.0,0.62,3.94,84.21,1.56,40.0,0.1,0.0,0.31,1.04,6.22,56.67,0,,0,,0,0.0,0.0,0.0,,,1.35,,,0.0,0.0,0.0,0.0,0,0.0
B. Slisz,Brøndby,Brøndby,"RDMF, RCMF",27,5000000,2029-06-30,14,1422,0,0.79,1,0.46,15.82,54.4,Poland,Poland,right,179,76,no,9.94,7.41,64.1,2.34,59.46,0.25,0.34,0.51,4.94,6.65,1.39,7,0.44,0,0.0,0.7,0.0,0,0.0,0.05,0,0.0,12,0.76,25.0,0.0,0.06,0.89,28.57,0.19,33.33,0.63,30.0,0.06,0.7,36.36,3.48,40.0,1.14,2.22,0.32,28.16,0.19,1.27,42.85,84.05,15.89,76.1,4.68,93.24,16.27,90.66,39.24,86.77,2.72,62.79,18.37,37.32,0.03,0.38,0.0,0.0,0.0,0.0,0.13,7.97,79.37,1.14,55.56,0.13,50.0,0.51,0.25,7.72,68.03,0,,0,,0,0.0,0.0,0.0,,,0.44,,,0.0,0.0,0.0,0.0,0,0.0
Aurélio Buta,São Paulo,København,"RB, RWB",29,5000000,,12,608,1,0.63,0,0.0,12.43,50.0,Angola,"Angola, Portugal",right,172,66,no,6.66,5.18,62.86,1.18,37.5,0.0,0.0,0.3,3.4,4.96,1.18,2,0.3,0,0.0,1.92,0.15,1,0.15,0.09,0,0.0,8,1.18,50.0,12.5,0.0,2.07,28.57,0.0,0.0,2.07,28.57,0.74,1.48,50.0,5.03,47.06,3.4,1.48,0.15,27.24,2.37,1.33,32.27,81.65,10.36,72.86,8.29,100.0,5.92,72.5,27.68,89.3,2.81,36.84,15.1,25.35,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.52,88.24,1.92,69.23,0.15,100.0,1.18,0.74,5.92,62.5,0,,0,,0,0.0,0.0,0.0,,,0.89,,,0.0,0.0,0.0,0.0,0,0.0
B. Tahirović,Brøndby,Brøndby,"LDMF, LCMF, RCMF",23,5000000,2028-06-30,25,1326,1,1.24,0,1.09,13.24,50.77,Sweden,"Sweden, Bosnia and Herzegovina",right,191,78,no,7.67,5.9,56.32,1.15,41.18,0.27,0.37,0.68,4.07,5.52,1.36,5,0.34,0,0.0,1.15,0.07,1,0.07,0.08,0,0.0,18,1.22,22.22,5.556,0.0,0.61,66.67,0.27,50.0,0.34,80.0,0.14,0.61,66.67,4.55,44.78,1.63,0.88,0.2,39.64,0.34,1.22,51.52,86.82,12.9,71.05,9.77,96.53,19.75,91.07,46.02,89.82,4.89,61.11,18.89,34.3,0.07,0.88,0.0,0.0,0.2,33.33,0.48,6.99,74.76,1.97,48.28,0.54,37.5,0.88,0.41,5.29,75.64,0,,0,,0,0.0,0.0,0.0,,,1.9,,,0.14,0.07,100.0,0.0,0,0.0
Cho Gue-Sung,Midtjylland,Midtjylland,"CF, AMF",28,4500000,2028-06-30,26,1463,3,7.91,1,0.66,20.73,33.53,Korea Republic,Korea Republic,right,189,82,no,3.57,3.75,49.18,6.4,36.54,0.25,0.42,0.06,1.48,2.51,1.6,4,0.25,0,0.0,1.35,0.18,3,0.18,0.49,0,0.0,35,2.15,42.86,8.571,0.06,0.68,18.18,0.18,0.0,0.49,25.0,0.06,0.55,55.56,5.84,24.21,3.63,0.25,0.12,10.09,1.6,0.74,14.33,72.53,3.2,73.08,4.55,81.08,3.32,74.07,13.29,75.0,0.37,83.33,13.33,7.59,0.04,0.43,0.06,0.06,0.0,0.0,0.12,1.05,88.24,0.68,36.36,0.06,0.0,0.49,0.12,1.6,46.15,0,,0,,0,0.0,0.0,0.0,,,0.18,,,0.0,0.0,0.0,0.12,0,0.0
S. Spierings,Real Salt Lake,Brøndby,"RCMF, LCMF, RDMF",30,4500000,2028-06-30,17,911,2,1.62,0,0.83,13.93,52.48,Netherlands,Netherlands,right,188,81,no,9.58,7.61,62.34,1.78,44.44,0.3,0.36,0.49,4.54,5.56,1.28,1,0.1,0,0.0,0.99,0.2,2,0.2,0.16,1,0.1,17,1.68,23.53,11.765,0.0,0.59,33.33,0.1,100.0,0.4,25.0,0.1,0.2,100.0,3.26,39.39,0.69,0.69,0.1,44.56,0.2,0.89,59.77,88.26,18.57,76.6,11.46,98.28,18.38,91.94,53.74,92.46,5.43,52.73,17.18,36.17,0.08,0.59,0.0,0.1,0.3,66.67,0.49,10.87,76.36,2.07,38.1,0.69,28.57,0.49,0.2,8.2,78.31,0,,0,,0,0.0,0.0,0.0,,,1.19,,,0.0,0.0,0.0,0.1,0,0.0
V. Claesson,Värnamo,København,"CF, AMF",34,4500000,2029-12-31,30,1498,6,7.66,1,1.18,15.98,42.11,Sweden,Sweden,right,183,80,no,4.57,3.72,67.74,4.69,34.62,0.18,0.27,0.06,1.86,2.81,1.08,2,0.12,0,0.0,1.44,0.36,6,0.36,0.46,0,0.0,27,1.62,40.74,22.222,0.06,1.08,33.33,0.3,60.0,0.78,23.08,0.18,0.72,50.0,4.33,33.33,4.87,0.66,0.12,22.95,0.9,0.72,30.52,80.31,5.47,63.74,9.61,91.25,7.21,80.0,28.84,82.08,0.6,80.0,13.56,6.46,0.07,0.84,0.12,0.0,0.18,33.33,0.3,2.1,71.43,2.22,56.76,0.24,50.0,1.8,0.24,2.1,62.86,0,,0,,0,0.0,0.0,0.0,,,0.3,,,0.0,0.0,0.0,0.0,0,0.0
M. Uhre,Midtjylland,Midtjylland,"CF, LWF, AMF",31,4000000,2029-06-30,6,254,0,0.28,0,0.0,19.84,32.14,Denmark,Denmark,right,188,86,no,3.9,4.96,57.14,5.31,13.33,0.0,0.0,0.0,1.06,1.91,2.13,0,0.0,0,0.0,0.71,0.0,0,0.0,0.1,0,0.0,2,0.71,50.0,0.0,0.0,0.35,0.0,0.0,0.0,0.35,0.0,0.35,0.35,100.0,5.67,37.5,0.71,0.0,0.0,6.38,1.06,1.06,10.28,79.31,0.71,0.0,3.9,90.91,4.25,75.0,9.92,82.14,0.0,0.0,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,50.0,0.0,0.0,0.0,0.0,0.71,50.0,0,,0,,0,0.0,0.0,0.0,,,0.35,,,0.0,0.0,0.0,0.0,0,0.0
