Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Y. Meriah,Club Africain,ES Tunis,"RCB, LCB",33,1800000,2028-06-30,15,1439,1,2.24,0,0.03,9.19,65.99,Tunisia,Tunisia,right,188,74,no,5.94,4.07,78.46,3.31,60.38,0.0,0.0,0.06,2.75,6.26,0.56,3,0.19,0,0.0,0.44,0.06,0,0.0,0.14,0,0.0,6,0.38,33.33,16.667,0.0,0.31,40.0,0.0,0.0,0.25,50.0,0.0,0.31,40.0,0.88,28.57,0.44,0.88,0.0,34.59,0.31,0.31,49.97,90.61,21.58,83.48,2.25,97.22,21.89,96.29,43.53,94.83,6.13,63.27,22.67,40.72,0.0,0.19,0.06,0.06,0.06,100.0,0.0,7.26,80.17,0.94,53.33,0.5,50.0,0.38,0.13,10.19,79.75,0,,0,,0,0.0,0.0,0.0,,,1.81,,,0.06,0.0,0.0,0.0,2,50.0
H. Rafia,ES Tunis,ES Tunis,"RDMF, LCMF, AMF",27,1700000,2029-06-30,12,752,1,0.85,0,0.66,22.62,48.68,Tunisia,"Tunisia, France",right,181,75,no,7.18,7.54,65.08,2.03,47.06,0.84,2.06,0.24,1.44,3.53,2.27,0,0.0,0,0.0,1.68,0.12,1,0.12,0.1,0,0.0,7,0.84,14.29,14.286,0.0,1.2,30.0,0.12,0.0,1.08,33.33,0.24,2.03,52.94,9.57,42.5,0.72,1.91,0.12,34.71,0.36,2.03,47.87,88.25,14.84,79.84,8.5,95.77,16.16,89.63,43.2,91.41,3.59,66.67,14.94,29.66,0.08,1.08,0.0,0.0,0.24,50.0,0.36,9.22,77.92,2.99,48.0,0.36,0.0,0.96,0.36,7.54,84.13,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.08,0.0,0.0,1.32,0,0.0
H. Tka,CR Belouizdad,ES Tunis,"RDMF, RCMF, LDMF",25,900000,2029-06-30,26,1937,3,2.45,2,0.96,17.93,54.15,Tunisia,Tunisia,right,175,68,no,8.36,5.85,72.22,2.79,50.0,0.46,1.02,0.19,3.67,8.03,1.63,3,0.14,0,0.0,2.09,0.14,3,0.14,0.11,0,0.0,30,1.39,16.67,10.0,0.09,1.44,45.16,0.6,53.85,0.84,38.89,0.14,1.72,67.57,6.92,44.3,1.81,1.21,0.05,36.8,0.33,1.3,52.23,87.19,15.01,77.4,9.62,97.1,17.98,90.18,46.28,90.96,4.65,63.0,17.73,33.25,0.04,0.65,0.05,0.0,0.09,50.0,0.28,8.18,80.68,2.23,54.17,0.37,37.5,0.74,0.6,7.11,79.74,0,,0,,0,0.0,0.0,0.0,,,0.37,,,0.0,0.0,0.0,0.23,0,0.0
Y. Msakni,ES Tunis,ES Tunis,"LAMF, LWF",35,800000,2027-06-30,2,73,0,0.93,0,0.22,14.79,25.0,Tunisia,Tunisia,right,179,73,no,3.7,2.47,50.0,0.0,0.0,1.23,3.33,0.0,1.23,3.33,0.0,0,0.0,0,0.0,2.47,0.0,0,0.0,1.15,0,0.0,3,3.7,66.67,0.0,0.0,1.23,0.0,0.0,0.0,1.23,0.0,0.0,1.23,0.0,7.4,33.33,4.93,2.47,0.0,38.22,1.23,0.0,50.55,82.93,12.33,80.0,13.56,81.82,13.56,90.91,48.08,84.62,1.23,100.0,14.17,11.87,0.27,1.23,0.0,0.0,0.0,0.0,1.23,3.7,66.67,3.7,33.33,1.23,100.0,3.7,0.0,3.7,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,0.0
A. Maâloul,CS Sfaxien,CS Sfaxien,"LB, LAMF, LWB",36,800000,2028-06-30,21,2001,2,1.61,7,7.16,8.14,41.99,Tunisia,Tunisia,left,175,72,no,3.69,2.7,61.67,1.26,25.0,0.18,0.35,0.0,1.84,3.59,0.54,0,0.0,0,0.0,1.66,0.09,1,0.04,0.07,0,0.0,14,0.63,28.57,14.286,0.31,2.52,41.07,2.34,42.31,0.18,25.0,0.31,0.76,52.94,3.37,32.0,0.67,0.58,0.0,29.15,1.21,0.67,37.29,78.89,15.25,71.39,6.75,94.0,8.91,79.8,29.24,86.46,5.53,56.1,19.66,33.37,0.32,2.61,0.04,0.0,0.04,100.0,0.76,5.89,64.12,3.91,50.57,0.72,56.25,1.21,1.08,8.46,84.57,0,,0,,0,0.0,0.0,0.0,,,0.31,,,2.74,0.36,25.0,3.6,1,100.0
E. Jelassi,Stade Tunisien,Stade Tunisien,AMF,32,800000,2026-06-30,1,9,0,0.0,0,0.0,,,Tunisia,Tunisia,right,177,74,no,,,,,,,0.0,,,120.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.58,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
H. Khadhraoui,Club Africain,Club Africain,"LAMF, LW, RAMF",27,800000,2027-06-30,21,1920,1,4.37,2,2.2,15.98,46.63,Tunisia,Tunisia,right,0,0,no,5.95,4.88,55.77,2.58,49.09,0.7,1.58,0.05,2.53,5.68,1.78,7,0.33,0,0.0,2.39,0.05,1,0.05,0.2,1,0.05,38,1.78,21.05,2.632,0.09,1.92,34.15,1.03,31.82,0.84,38.89,0.38,2.67,49.12,6.75,43.06,2.77,1.41,0.19,15.66,1.5,1.17,20.11,76.22,5.3,65.49,4.97,91.51,5.48,70.09,16.88,83.89,1.31,39.29,15.7,20.76,0.1,1.03,0.14,0.0,0.05,100.0,0.47,2.2,68.09,2.11,37.78,0.23,40.0,0.8,0.61,3.09,74.24,0,,0,,0,0.0,0.0,0.0,,,0.05,,,0.09,0.09,0.0,1.78,0,0.0
W. Kechrida,Etoile du Sahel,Etoile du Sahel,"RB, RWB",30,700000,2027-06-30,6,508,0,0.1,1,0.02,14.88,55.95,France,"France, Tunisia",right,177,74,no,9.04,6.56,67.57,2.66,53.33,0.53,0.87,0.18,4.07,6.7,1.24,0,0.0,0,0.0,1.42,0.0,0,0.0,0.02,0,0.0,1,0.18,0.0,0.0,0.18,1.42,37.5,0.0,0.0,1.42,37.5,0.35,1.59,55.56,3.54,45.0,0.89,1.06,0.0,14.7,0.71,0.71,24.45,71.74,10.63,58.33,4.96,100.0,5.49,74.19,19.49,80.91,3.72,33.33,18.29,22.45,0.0,0.18,0.0,0.0,0.0,0.0,0.18,4.43,76.0,1.24,42.86,0.0,0.0,0.35,0.53,7.09,57.5,0,,0,,0,0.0,0.0,0.0,,,0.89,,,0.0,0.0,0.0,0.0,0,0.0
H. Mathlouthi,CS Sfaxien,CS Sfaxien,"RCB, LCB",33,700000,2027-06-30,14,913,0,0.3,0,0.58,10.15,56.31,Tunisia,Tunisia,right,177,70,no,5.62,4.24,58.14,2.56,34.62,0.3,0.61,0.0,2.86,5.88,0.89,0,0.0,0,0.0,0.69,0.0,0,0.0,0.03,0,0.0,4,0.39,75.0,0.0,0.0,0.49,60.0,0.0,0.0,0.49,60.0,0.0,0.49,20.0,2.07,66.67,0.79,0.59,0.0,29.47,0.49,1.28,42.78,87.1,19.91,78.22,2.76,100.0,16.27,95.15,35.19,92.72,7.1,61.11,21.11,29.68,0.06,0.59,0.1,0.0,0.0,0.0,0.1,4.73,79.17,0.89,44.44,0.49,40.0,0.3,0.3,10.15,66.02,0,,0,,0,0.0,0.0,0.0,,,0.39,,,0.39,0.1,0.0,0.59,0,0.0
A. Dridi,CA Bizertin,CA Bizertin,"RDMF, LCMF, DMF",28,650000,2027-06-30,17,1194,0,0.14,0,0.46,12.74,53.85,Tunisia,Tunisia,,0,0,no,9.2,6.03,61.25,2.94,48.72,0.38,0.64,0.3,5.13,8.72,1.06,2,0.15,1,0.08,0.45,0.0,0,0.0,0.01,0,0.0,5,0.38,20.0,0.0,0.0,0.45,33.33,0.23,0.0,0.23,66.67,0.0,0.38,60.0,1.96,46.15,0.15,0.23,0.0,23.14,0.6,0.53,37.39,80.04,13.19,68.0,4.97,90.91,14.17,89.36,30.9,84.88,6.03,58.75,19.02,29.06,0.03,0.38,0.0,0.0,0.0,0.0,0.08,6.33,64.29,0.6,25.0,0.08,0.0,0.0,0.15,6.11,70.37,0,,0,,0,0.0,0.0,0.0,,,0.6,,,0.15,0.08,0.0,0.0,0,0.0
