Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Odiljon Hamrobekov,Tractor Sazi,Bunyodkor,"DMF, LCMF",30,1200000,2027-06-30,14,1420,0,0.08,0,0.54,12.17,59.38,Uzbekistan,Uzbekistan,right,180,80,no,11.41,7.67,64.46,1.27,55.0,1.01,1.55,0.63,5.45,8.32,1.2,3,0.19,0,0.0,0.32,0.0,0,0.0,0.01,0,0.0,4,0.25,25.0,0.0,0.0,0.25,25.0,0.13,50.0,0.13,0.0,0.06,0.19,66.67,1.14,27.78,0.13,0.44,0.0,41.2,0.13,0.44,59.2,87.69,19.27,77.96,7.23,97.37,26.11,91.99,52.04,91.72,6.91,59.63,21.13,38.96,0.03,0.57,0.0,0.06,0.19,33.33,0.13,10.65,77.98,1.14,38.89,0.57,33.33,0.44,0.06,11.28,77.53,0,,0,,0,0.0,0.0,0.0,,,1.08,,,0.0,0.0,0.0,0.0,0,0
S. Nasrullaev,Pakhtakor,Nasaf,LB,28,1000000,2027-12-31,23,1771,3,2.05,1,1.77,11.43,56.0,Uzbekistan,Uzbekistan,left,180,70,no,7.32,5.03,75.76,1.68,33.33,0.15,0.23,0.1,3.35,5.09,0.51,1,0.05,0,0.0,3.1,0.15,3,0.15,0.1,0,0.0,13,0.66,53.85,23.077,0.05,6.15,28.93,6.1,29.17,0.0,0.0,0.86,1.58,58.06,3.51,42.03,2.08,2.69,0.2,41.93,2.08,0.2,53.0,78.52,17.74,73.64,9.71,92.67,16.92,73.87,39.79,89.02,7.22,61.27,20.51,33.38,0.09,0.76,0.1,0.05,0.05,100.0,0.56,7.72,73.03,5.69,36.61,0.51,70.0,1.02,1.83,11.84,81.55,0,,0,,0,0.0,0.0,0.0,,,0.91,,,0.36,0.0,0.0,0.0,0,0
L. Doriev,Sogdiana,Sogdiana,"LAMF, LWF, LW",30,900000,2030-12-31,30,2932,16,12.12,6,6.72,16.42,44.49,North Macedonia,North Macedonia,right,186,0,no,2.24,1.96,60.94,0.61,30.0,0.0,0.0,0.0,1.04,1.52,0.49,3,0.09,0,0.0,7.46,0.49,13,0.4,0.37,0,0.0,141,4.33,36.88,11.348,0.18,4.27,36.69,2.98,37.11,1.2,38.46,0.61,8.17,51.88,12.74,43.37,4.85,4.33,0.31,23.64,2.82,0.58,27.26,69.48,6.2,64.36,4.45,84.14,9.88,68.63,21.12,77.76,1.96,48.44,18.43,32.67,0.21,1.63,0.03,0.0,0.15,40.0,0.74,3.07,64.0,4.97,51.23,0.52,11.76,1.72,1.53,6.14,87.5,0,,0,,0,0.0,0.0,0.0,,,0.03,,,0.49,0.09,0.0,2.49,3,100
A. Nematov,Nasaf,Nasaf,GK,25,900000,2026-12-31,29,2891,0,0.0,0,0.09,0.68,100.0,Uzbekistan,Uzbekistan,right,182,79,no,2.4,0.03,100.0,0.37,100.0,0.0,0.0,0.0,2.37,3.51,0.03,1,0.03,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.25,100.0,0.0,0.03,0.0,15.81,0.16,0.28,23.69,81.6,14.6,70.79,0.0,0.0,8.75,98.93,14.54,98.07,9.15,55.44,35.89,55.42,0.0,0.03,0.0,0.0,0.0,0.0,0.03,4.05,46.15,0.47,6.67,0.47,20.0,0.03,0.0,6.76,76.5,22,0.68,85,2.65,12,74.12,26.58,0.83,4.58,0.143,0.0,1.46,0.37,,,,0.0,0,0
I. Mashukov,Neftekhimik,Andijan,CF,31,900000,,10,426,0,1.6,0,0.04,19.44,30.43,Russia,Russia,right,188,78,no,2.11,0.42,100.0,7.39,34.29,0.21,0.33,0.0,1.48,2.33,0.0,0,0.0,0,0.0,1.69,0.0,0,0.0,0.34,0,0.0,10,2.11,30.0,0.0,0.0,0.42,50.0,0.0,0.0,0.21,100.0,0.0,2.32,36.36,8.24,17.95,3.17,0.42,0.0,5.7,2.75,0.42,9.51,80.0,2.11,60.0,3.17,93.33,2.96,78.57,8.87,80.95,0.21,100.0,12.95,2.61,0.01,0.42,0.0,0.0,0.0,0.0,0.0,1.69,50.0,0.63,66.67,0.0,0.0,0.21,0.0,0.42,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0
J. Jaloliddinov,Navbahor,Sogdiana,"AMF, RCMF, LCMF",24,850000,2027-12-31,15,1063,1,0.78,2,2.4,22.69,50.37,Uzbekistan,Uzbekistan,left,171,59,no,7.2,7.11,65.48,1.52,38.89,0.42,0.6,0.08,2.12,3.0,1.1,3,0.25,0,0.0,2.54,0.08,1,0.08,0.07,0,0.0,22,1.86,36.36,4.545,0.17,2.54,10.0,1.44,17.65,0.85,0.0,0.17,2.88,52.94,11.51,44.12,1.02,3.98,0.25,40.13,0.85,2.29,51.65,79.34,14.82,63.43,10.33,96.72,18.37,82.49,42.84,89.53,6.52,36.36,20.07,35.19,0.2,2.03,0.08,0.0,0.17,50.0,0.42,10.24,68.6,3.13,27.03,1.61,26.32,0.93,0.42,7.37,74.71,0,,0,,0,0.0,0.0,0.0,,,0.34,,,2.46,0.51,33.33,2.2,0,0
Jhonatan,Alverca,Pakhtakor,GK,35,800000,2027-06-30,9,837,0,0.0,0,0.0,0.75,85.71,Brazil,Brazil,right,190,82,no,0.97,0.0,0.0,0.43,100.0,0.0,0.0,0.0,0.97,1.94,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,50.0,0.0,0.0,0.11,17.74,0.32,0.22,26.45,86.99,12.47,73.28,0.0,0.0,13.23,99.19,18.6,99.42,7.74,58.33,29.8,47.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,50.0,0.32,33.33,0.43,50.0,0.11,0.0,5.48,62.75,12,1.29,27,2.9,1,55.56,8.94,0.96,-3.06,-0.329,0.0,1.08,0.43,,,,0.0,0,0
A. Abdullaev,Navbahor,Pakhtakor,"LCB, CB, RCB",28,800000,2026-12-31,10,924,0,0.63,0,0.0,9.64,68.69,Uzbekistan,Uzbekistan,right,181,79,no,6.53,3.41,80.0,3.02,48.39,0.1,0.18,0.58,3.7,6.99,0.49,1,0.1,0,0.0,0.19,0.0,0,0.0,0.06,0,0.0,4,0.39,25.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.19,50.0,1.46,66.67,0.49,1.56,0.1,48.41,0.49,0.78,65.75,91.7,21.62,79.73,2.82,100.0,36.33,97.86,59.61,96.08,6.14,49.21,21.66,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,62.26,0.29,0.0,0.39,25.0,0.0,0.0,6.92,74.65,0,,0,,0,0.0,0.0,0.0,,,2.14,,,0.0,0.0,0.0,0.0,0,0
A. Amonov,Dinamo Samarqand,Buxoro,"RWF, CF, RW",28,700000,2026-12-31,25,1637,0,3.03,3,2.56,24.36,46.28,Uzbekistan,Uzbekistan,left,181,74,no,6.54,6.43,64.1,4.56,43.37,0.33,0.46,0.0,2.09,2.89,1.26,2,0.11,0,0.0,3.85,0.0,0,0.0,0.17,0,0.0,46,2.53,28.26,0.0,0.16,2.86,25.0,1.32,33.33,1.48,14.81,0.55,4.62,50.0,11.38,38.16,3.02,2.42,0.22,20.95,2.64,1.26,29.96,68.62,9.24,58.93,7.15,89.23,8.74,61.64,24.69,75.5,2.64,47.92,18.1,30.31,0.14,1.54,0.05,0.11,0.38,28.57,0.66,4.01,63.01,3.85,35.71,0.55,30.0,1.15,0.55,4.78,78.16,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.21,0.11,0.0,2.09,0,0
I. Kobilov,Sogdiana,Sogdiana,"RCB, RB",29,600000,2026-12-31,29,2583,1,2.04,1,1.08,12.09,56.77,Uzbekistan,Uzbekistan,,185,71,no,7.94,4.56,67.94,3.48,66.0,0.17,0.26,0.73,4.67,6.97,0.73,3,0.1,1,0.03,0.66,0.03,1,0.03,0.07,1,0.03,11,0.38,36.36,9.091,0.03,1.11,21.88,0.03,0.0,1.08,22.58,0.21,0.7,40.0,2.61,36.0,1.01,1.74,0.07,33.52,0.49,0.52,50.24,81.21,21.99,68.62,2.58,93.24,21.92,91.73,39.09,91.62,10.21,46.42,24.38,41.03,0.04,0.35,0.1,0.0,0.03,0.0,0.1,8.78,59.92,2.33,32.84,0.66,36.84,0.59,0.28,10.77,71.52,0,,0,,0,0.0,0.0,0.0,,,0.87,,,0.03,0.0,0.0,0.03,0,0
