Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Y. Osorio,Tolima,Deportivo La Guaira,"CB, RCB",32,2200000,,6,530,1,0.68,0,0.17,10.87,68.75,Venezuela,Venezuela,right,189,77,no,8.49,5.26,77.42,2.55,66.67,0.0,0.0,0.68,4.42,6.61,0.34,0,0.0,1,0.17,0.51,0.17,1,0.17,0.12,0,0.0,4,0.68,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,100.0,2.21,69.23,0.85,0.51,0.0,29.72,0.17,1.19,44.32,89.27,18.17,84.11,2.21,84.62,20.04,94.07,41.26,92.18,3.06,50.0,19.38,35.94,0.03,0.51,0.0,0.0,0.0,0.0,0.17,6.28,70.27,0.17,0.0,0.0,0.0,0.17,0.0,8.32,77.55,0,,0,,0,0.0,0.0,0.0,,,1.36,,,0.0,0.0,0.0,0.0,0,0.0
D. Machís,América de Cali,UCV,"LW, RW, CF",33,2000000,2027-12-31,5,276,3,1.24,1,0.45,15.33,46.81,Venezuela,"Venezuela, Spain",right,171,65,no,4.24,2.61,37.5,2.61,37.5,0.0,0.0,0.0,3.26,5.88,0.33,0,0.0,0,0.0,5.22,0.98,3,0.98,0.41,0,0.0,7,2.28,42.86,42.857,0.33,3.26,60.0,1.63,40.0,1.63,80.0,0.33,3.91,58.33,8.8,55.56,1.63,3.91,0.65,23.8,2.28,0.98,34.57,75.47,9.78,53.33,6.52,95.0,12.39,81.58,28.04,81.4,3.26,40.0,18.75,46.95,0.15,1.63,0.0,0.0,0.0,0.0,0.65,4.57,64.29,4.57,64.29,0.65,50.0,1.3,1.96,6.52,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.98,0.65,50.0,0.98,0,0.0
W. Fariñez,Inter Bogotá,Caracas,GK,28,700000,2027-12-31,3,301,0,0.0,0,0.0,0.6,100.0,Venezuela,Venezuela,right,180,77,yes,0.6,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.6,0.97,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0,0.3,17.34,79.31,7.77,69.23,0.0,0.0,8.97,90.0,11.66,94.87,5.68,47.37,31.53,49.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3.29,45.45,3,0.9,15,4.49,0,80.0,4.03,1.2,1.03,0.308,0.0,0.6,0.3,,,,0.0,0,0.0
A. Ponce,Academia Puerto Cabello,Academia Puerto Cabello,"CF, LW",29,700000,,15,926,2,2.3,0,0.01,21.48,31.67,Venezuela,"Venezuela, Colombia",right,182,80,no,3.3,3.5,47.22,7.29,29.33,0.39,0.56,0.29,1.26,1.81,2.43,3,0.29,0,0.0,1.46,0.19,2,0.19,0.22,0,0.0,20,1.94,35.0,10.0,0.0,0.49,20.0,0.29,0.0,0.19,50.0,0.29,0.87,77.78,6.41,24.24,2.53,0.58,0.1,9.33,1.94,0.58,15.06,70.97,1.94,50.0,4.96,86.27,5.44,71.43,13.7,73.05,0.87,66.67,17.41,16.33,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.78,75.0,0.39,25.0,0.0,0.0,0.19,0.29,1.46,40.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
S. Sosa,UCV,UCV,"LW, CF, LAMF",26,650000,2026-12-31,30,1857,7,4.85,2,1.95,14.88,43.0,Venezuela,Venezuela,left,177,76,no,4.17,4.8,56.57,1.79,37.84,0.29,0.42,0.1,1.16,1.68,1.6,11,0.53,0,0.0,3.49,0.34,6,0.29,0.24,2,0.1,61,2.96,36.07,11.475,0.1,2.67,32.73,1.7,34.29,0.92,31.58,0.63,2.81,55.17,6.88,38.73,1.99,1.21,0.29,19.19,1.94,1.21,24.23,76.2,6.64,64.96,6.06,95.2,7.46,72.73,18.85,85.6,2.96,52.46,20.68,35.03,0.09,0.87,0.0,0.05,0.05,0.0,0.24,4.07,67.86,2.96,44.26,0.44,11.11,0.63,0.78,3.97,80.49,0,,0,,0,0.0,0.0,0.0,,,0.29,,,1.26,0.48,40.0,1.7,1,100.0
C. Cañozales,,Carabobo,"LWF, LW, CF",27,600000,,17,1094,4,4.16,3,1.97,25.67,36.86,Colombia,Colombia,right,186,75,no,4.61,4.94,46.67,3.37,41.46,0.25,0.31,0.08,2.06,2.62,2.06,3,0.25,0,0.0,5.92,0.33,3,0.25,0.34,1,0.08,25,2.06,56.0,16.0,0.25,3.37,48.78,3.29,50.0,0.08,0.0,0.74,6.99,44.71,15.14,35.33,2.63,3.54,0.25,16.86,2.39,0.41,23.12,74.38,5.43,74.24,5.27,92.19,7.07,63.95,18.59,81.42,1.15,35.71,15.17,16.3,0.16,1.32,0.0,0.08,0.0,0.0,0.58,2.06,60.0,3.21,41.03,0.16,0.0,0.49,1.48,3.95,85.42,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0
J. Alegría,Al Arabi,Carabobo,CF,24,550000,,13,654,3,3.02,0,0.02,16.51,33.33,Colombia,Colombia,right,178,76,no,1.79,2.75,40.0,5.92,32.56,0.28,0.43,0.0,0.41,0.65,1.79,1,0.14,0,0.0,1.51,0.41,3,0.41,0.42,0,0.0,14,1.93,71.43,21.429,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.55,25.0,4.68,29.41,3.17,0.96,0.0,9.63,1.93,1.1,11.7,77.65,1.65,75.0,4.13,76.67,3.44,80.0,11.56,78.57,0.0,0.0,12.48,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.96,100.0,0.55,0.0,0.0,0.0,0.28,0.0,0.96,57.14,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.14,0.0,0.0,0.0,0,0.0
L. González,Deportivo Táchira,Deportivo Táchira,"AMF, CF",35,500000,2026-12-31,15,1001,1,4.1,3,2.95,14.84,38.18,Venezuela,Venezuela,right,168,66,no,2.43,2.52,53.57,0.63,0.0,0.0,0.0,0.0,1.08,1.89,0.99,1,0.09,0,0.0,4.32,0.09,0,0.0,0.37,0,0.0,30,2.7,53.33,3.333,0.27,2.52,28.57,0.99,45.45,1.53,17.65,0.27,3.87,51.16,10.34,37.39,2.97,1.35,0.18,30.66,1.89,1.62,36.59,79.85,13.04,77.24,6.56,93.15,10.7,76.47,31.47,86.0,2.7,53.33,17.6,29.47,0.26,1.71,0.09,0.0,0.27,66.67,0.45,7.28,76.54,4.59,49.02,0.72,50.0,2.07,0.72,7.46,93.98,0,,0,,0,0.0,0.0,0.0,,,0.45,,,1.53,0.27,33.33,3.6,2,50.0
Tony,,Academia Puerto Cabello,"RCB, CB",26,500000,,6,522,0,0.0,0,0.0,7.59,77.27,Nigeria,Nigeria,right,190,82,no,5.0,3.1,83.33,1.72,70.0,0.0,0.0,0.0,2.41,3.59,0.34,1,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,55.56,0.0,0.34,0.0,22.07,0.34,0.52,34.31,89.45,12.07,81.43,1.72,90.0,17.41,97.03,30.86,91.62,3.45,70.0,19.8,24.01,0.0,0.17,0.0,0.0,0.0,0.0,0.0,1.72,40.0,0.17,0.0,0.0,0.0,0.0,0.0,4.31,56.0,0,,0,,0,0.0,0.0,0.0,,,1.38,,,0.0,0.0,0.0,0.0,0,0.0
J. Zapata,UCV,UCV,"CF, AMF",32,500000,,32,3047,13,12.31,5,3.74,21.59,40.08,Colombia,Colombia,right,172,60,no,5.2,5.32,59.44,7.09,34.17,0.3,0.43,0.12,1.74,2.54,1.42,3,0.09,0,0.0,2.84,0.38,8,0.24,0.36,1,0.03,70,2.07,37.14,18.571,0.15,3.31,34.82,1.12,44.74,2.1,26.76,0.24,1.98,44.78,7.24,31.02,3.43,0.89,0.12,14.33,1.77,1.27,20.56,69.54,4.16,54.61,4.9,90.96,6.7,65.64,15.12,78.71,2.22,56.0,18.96,31.79,0.11,0.97,0.0,0.0,0.27,11.11,0.38,1.92,60.0,3.28,40.54,0.44,26.67,0.65,1.24,2.69,76.92,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.03,0.0,0.0,0.03,5,100.0
