season,role,position,lead,column,delta_pp,nan_pos,nan_lead,n
20-21,FB,RWB,RB,Goals per 90,2.943529035354344,8.206686930091186,5.263157894736842,329
20-21,FB,RWB,RB,Red cards per 90,2.943529035354344,8.206686930091186,5.263157894736842,329
20-21,FB,RWB,RB,Yellow cards per 90,2.943529035354344,8.206686930091186,5.263157894736842,329
20-21,FB,RWB,RB,Duels per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,"Accurate smart passes, %",2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,Third assists per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,Second assists per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,Shot assists per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,xA per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,"Accurate long passes, %",2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,Long passes per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,"Accurate short / medium passes, %",2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,Short / medium passes per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,"Accurate lateral passes, %",2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,Lateral passes per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,"Accurate back passes, %",2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,Back passes per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,"Accurate forward passes, %",2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,Forward passes per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
20-21,FB,RWB,RB,Smart passes per 90,2.893876602385128,8.206686930091186,5.312810327706058,329
