league_code,folder,country,league,priority,priority_rank,division,strength,strength_source,latest_season,n_teams,n_players,groups,calendar,notes
GER_22B,1 - [GER] - (2. Bundesliga),GER,2. Bundesliga,green,1,2,76.3,provisional_uefa_x_division,2025-2026,18,538,,autumn-spring,
GER_33L,2 - [GER] - (3. Liga),GER,3. Liga,green,1,3,44.4,provisional_uefa_x_division,2025-2026,20,599,,autumn-spring,
ARG_PN,3 - [ARG] - (Primera Nacional),ARG,Primera Nacional,green,1,2,37.6,provisional_marketvalue_interp (coverage 44%),2025-2026,36,1158,,calendar,
BRA_SRB,4 - [BRA] - (Série B),BRA,Série B,green,1,2,63.7,provisional_marketvalue_interp (coverage 52%),2025-2026,20,807,,calendar,
BRA_SRC,5 - [BRA] - (Série C),BRA,Série C,green,1,3,48.5,provisional_marketvalue_interp (coverage 25%),2025-2026,20,720,,calendar,
COL_LB,6 - [COL] - (Liga BetPlay),COL,Liga BetPlay,green,1,1,63.7,provisional_marketvalue_interp (coverage 55%),2025-2026,20,775,,calendar,
COL_TB,7 - [COL] - (Torneo BetPlay),COL,Torneo BetPlay,green,1,2,48.5,provisional_marketvalue_interp (coverage 25%),2025-2026,16,662,,calendar,
DEN_SUPER,8 - [DEN] - (Superliga),DEN,Superliga,green,1,1,54.0,provisional_uefa_x_division,2025-2026,12,370,,autumn-spring,
DEN_11D,9 - [DEN] - (1st Division),DEN,1st Division,green,1,2,29.7,provisional_uefa_x_division,2025-2026,12,370,,autumn-spring,
ESP_PDR,10 - [ESP] - (Primera Division RFEF),ESP,Primera Division RFEF,green,1,3,48.5,provisional_marketvalue_interp (coverage 43%),2025-2026,40,1165,2,autumn-spring,
ESP_SDR,11 - [ESP] - (Segunda Division RFEF),ESP,Segunda Division RFEF,green,1,4,37.6,provisional_marketvalue_interp (coverage 33%),2024-2025,90,2475,5,autumn-spring,
FRA_L22,12 - [FRA] - (Ligue 2),FRA,Ligue 2,green,1,2,64.6,provisional_uefa_x_division,2025-2026,18,541,,autumn-spring,
FRA_L33,13 - [FRA] - (Ligue 3),FRA,Ligue 3,green,1,3,37.6,provisional_uefa_x_division,2025-2026,17,494,,autumn-spring,
FRA_N11,14 - [FRA] - (National 1),FRA,National 1,green,1,3,37.6,provisional_uefa_x_division,2024-2025,48,972,,autumn-spring,
GRE_SSL,15 - [GRE] - (Stoiximan Super League),GRE,Stoiximan Super League,green,1,1,58.5,provisional_uefa_x_division,2025-2026,14,479,,autumn-spring,
GRE_SL22,16 - [GRE] - (Super League 2),GRE,Super League 2,green,1,2,32.2,provisional_uefa_x_division,2025-2026,20,646,,autumn-spring,
NED_EREDI,17 - [NED] - (Eredivisie),NED,Eredivisie,green,1,1,100.0,provisional_uefa_x_division,2025-2026,18,533,,autumn-spring,
NED_ED,18 - [NED] - (Eerste Divisie),NED,Eerste Divisie,green,1,2,55.0,provisional_uefa_x_division,2025-2026,20,645,,autumn-spring,
NOR_ELITE,19 - [NOR] - (Eliteserien),NOR,Eliteserien,green,1,1,24.0,provisional_uefa_x_division,2025-2026,16,446,,calendar,
NOR_OL,20 - [NOR] - (Obos Ligaen),NOR,Obos Ligaen,green,1,2,13.2,provisional_uefa_x_division,2025-2026,18,475,,calendar,
POR_L33,21 - [POR] - (Liga 3),POR,Liga 3,green,1,3,34.5,provisional_uefa_x_division,2025-2026,20,610,,autumn-spring,
POR_CDP,22 - [POR] - (Campeonato de Portugal),POR,Campeonato de Portugal,green,1,4,19.4,provisional_uefa_x_division,2025-2026,56,1568,,autumn-spring,
SWE_ALLSV,23 - [SWE] - (Allsvenskan),SWE,Allsvenskan,green,1,1,19.3,provisional_uefa_x_division,2025-2026,16,469,,calendar,
SWE_SUPER,24 - [SWE] - (Superettan),SWE,Superettan,green,1,2,10.6,provisional_uefa_x_division,2025-2026,16,443,,calendar,
AUT_BUNDE,25 - [AUT] - (Bundesliga),AUT,Bundesliga,yellow,2,1,70.8,provisional_uefa_x_division,2025-2026,12,340,,autumn-spring,
AUT_22L,26 - [AUT] - (2. Liga),AUT,2. Liga,yellow,2,2,39.0,provisional_uefa_x_division,2025-2026,16,480,,autumn-spring,
BEL_PL,27 - [BEL] - (Pro League),BEL,Pro League,yellow,2,1,91.3,provisional_uefa_x_division,2025-2026,16,493,,autumn-spring,
