Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Svanberg,Wolfsburg,Wolfsburg,AMF,27,12000000,2027-06-30,1,5,0,0.0,0,0.0,,,Sweden,Sweden,right,185,77,no,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.27,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
Vini Souza,Wolfsburg,Wolfsburg,LDMF,27,12000000,2030-06-30,1,85,0,0.01,0,0.13,,,Brazil,Brazil,right,187,80,no,,,,,,,0.0,,,4.0,,0,,0,,,,0,,,0,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.11,41.91,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
M. Berisha,Kaiserslautern,Kaiserslautern,CF,28,10000000,2027-06-30,12,765,2,3.46,1,0.14,22.12,29.26,Germany,Germany,right,188,81,no,3.06,3.18,40.74,6.35,27.78,0.24,0.31,0.0,1.53,2.02,2.24,1,0.12,0,0.0,0.94,0.24,2,0.24,0.41,0,0.0,14,1.65,28.57,14.286,0.12,0.35,0.0,0.24,0.0,0.12,0.0,0.12,1.18,40.0,7.88,25.37,2.12,0.24,0.0,9.76,1.88,0.71,14.82,75.4,3.29,67.86,4.35,89.19,3.06,69.23,14.0,76.47,0.47,100.0,12.88,9.19,0.02,0.35,0.0,0.0,0.0,0.0,0.12,1.65,64.29,1.06,55.56,0.0,0.0,0.59,0.0,1.88,68.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
M. Ljubičić,Union Berlin,Union Berlin,"CF, LAMF",24,8000000,,10,696,0,1.85,0,0.28,16.55,37.5,Croatia,Croatia,right,183,85,no,3.49,4.14,50.0,3.88,36.67,0.0,0.0,0.0,1.42,1.92,1.55,0,0.0,0,0.0,1.29,0.0,0,0.0,0.24,0,0.0,8,1.03,25.0,0.0,0.0,0.39,0.0,0.26,0.0,0.13,0.0,0.0,2.2,47.06,6.59,31.37,2.07,0.52,0.13,12.16,1.42,0.52,16.68,75.97,4.78,62.16,4.01,90.32,3.23,72.0,15.39,79.83,0.91,42.86,14.27,16.56,0.04,0.65,0.0,0.0,0.13,0.0,0.26,1.42,36.36,0.91,42.86,0.13,0.0,0.39,0.0,1.42,63.64,0,,0,,0,0.0,0.0,0.0,,,0.52,,,0.0,0.0,0.0,0.0,0,0.0
M. Arnold,Wolfsburg,Wolfsburg,LDMF,32,7000000,2028-06-30,1,13,0,0.0,0,0.0,,,Germany,Germany,left,184,74,no,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.47,51.21,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
E. Mašović,,Bochum,"RCB, CB",27,5000000,,13,901,0,0.61,0,0.12,14.08,56.03,Serbia,"Serbia, Bosnia and Herzegovina",right,189,82,no,10.09,6.69,68.66,3.4,47.06,0.8,0.95,0.8,4.69,5.57,0.6,3,0.3,0,0.0,0.1,0.0,0,0.0,0.06,0,0.0,2,0.2,50.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.8,25.0,0.4,0.0,0.0,26.17,0.1,0.1,39.86,85.96,12.49,68.0,2.8,92.86,22.38,95.09,34.86,92.26,4.89,42.86,22.0,34.44,0.01,0.1,0.0,0.0,0.0,0.0,0.0,4.2,52.38,0.3,66.67,0.2,0.0,0.2,0.0,5.69,57.89,0,,0,,0,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,0.0,0,0.0
P. Klemens,Hertha BSC,Hertha BSC,"RDMF, CB, RCMF",21,5000000,2028-06-30,8,405,1,0.39,0,0.0,15.11,51.47,Germany,Germany,right,186,80,no,6.44,4.0,72.22,4.22,47.37,0.0,0.0,0.89,3.56,4.4,1.11,0,0.0,0,0.0,1.33,0.22,1,0.22,0.09,1,0.22,3,0.67,100.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,100.0,2.89,46.15,0.67,0.44,0.0,25.11,0.0,0.22,33.56,87.42,13.11,77.97,6.44,96.55,11.11,92.0,31.33,89.36,2.22,60.0,21.54,24.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,61.54,0.67,33.33,0.22,0.0,0.22,0.0,4.44,70.0,0,,0,,0,0.0,0.0,0.0,,,1.56,,,0.0,0.0,0.0,0.0,0,0.0
F. Reese,Wolfsburg,Wolfsburg,"LAMF, RAMF, CF",28,5000000,2030-06-30,32,2990,10,11.74,13,6.0,13.09,45.52,Germany,Germany,right,187,80,no,4.0,2.83,55.32,1.81,40.0,0.03,0.04,0.21,2.41,3.18,0.87,8,0.24,0,0.0,6.2,0.3,6,0.18,0.35,0,0.0,95,2.86,38.95,10.526,0.39,6.95,32.9,3.82,33.86,3.13,31.73,1.11,4.45,62.16,7.28,45.87,3.82,2.59,0.39,22.12,2.92,0.36,28.78,66.21,6.2,65.05,5.48,89.01,11.71,59.64,20.17,78.21,1.78,55.93,20.25,27.15,0.18,1.47,0.0,0.06,0.03,100.0,0.93,2.41,62.5,6.11,45.32,0.36,41.67,1.05,2.53,6.44,74.3,0,,0,,0,0.0,0.0,0.0,,,0.12,,,0.12,0.12,0.0,0.12,5,80.0
Ž. Celar,Queens Park Rangers,Queens Park Rangers,"CF, LWF",27,4500000,,16,469,0,0.95,0,0.2,13.24,21.74,Slovenia,Slovenia,right,186,80,no,1.34,0.96,60.0,3.26,41.18,0.0,0.0,0.0,0.77,1.07,0.77,0,0.0,0,0.0,0.58,0.0,0,0.0,0.18,0,0.0,10,1.92,20.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.0,1.54,12.5,6.52,2.94,3.07,0.19,0.0,8.83,1.54,0.19,12.28,76.56,1.92,60.0,3.26,76.47,3.26,76.47,11.51,78.33,0.58,66.67,12.42,6.72,0.04,0.58,0.0,0.0,0.0,0.0,0.19,1.15,83.33,0.38,100.0,0.0,0.0,0.77,0.0,1.34,57.14,0,,0,,0,0.0,0.0,0.0,,,0.58,,,0.0,0.0,0.0,0.0,0,0.0
J. Tolkin,Holstein Kiel,Holstein Kiel,"LWB, LB",24,4000000,2028-06-30,25,2168,1,0.96,3,5.53,12.37,53.69,United States,United States,left,170,61,no,8.01,5.15,60.48,2.08,58.0,0.17,0.23,0.12,4.73,6.48,0.58,3,0.12,0,0.0,1.79,0.04,1,0.04,0.04,0,0.0,9,0.37,33.33,11.111,0.12,2.16,40.38,1.91,39.13,0.25,50.0,0.46,1.54,51.35,3.49,42.86,1.0,0.91,0.17,27.07,0.91,1.0,38.11,78.43,14.74,67.32,8.1,91.79,8.63,83.65,31.96,85.06,4.03,46.39,18.67,33.07,0.23,1.99,0.04,0.08,0.0,0.0,0.29,3.4,57.32,2.2,52.83,0.37,22.22,0.33,0.91,8.39,59.41,0,,0,,0,0.0,0.0,0.0,,,0.5,,,1.66,0.04,100.0,3.45,0,0.0
